Abel Castella;
Conrado Quintanilha;
Constantino Villar;
Constança Domínguez;
Constança Guarabira;
Constança Jesus;
Constança Villaça;
Cora Almeida;
Cora Márquez;
Cora Villegas;
Corina Festas;
Cosme Portella;
Cosperranho Betancour;
Crispim Neiva;
Cristiana Lameiras;
Cristiano Caires;
Cristóvão Gouveia;
Cristóvão Mesquita;
Cristóvão Pontes;
Custódio Bocaiúva;
Custódio Souza;
Cássia Cabreira;
Cátia Palhares;
Cândida Olivares;
Cândido Acevedo;
Célia Severiano;
Dalila Carvalhosa;
Dalila Lozada;
Dalila Motta;
Damião Capucho;
Daniel Paixão;
Daniel Regalado;
Daniela Rolim;
Danilo Salomón;
David Portela;
David Silvera;
Davide Pereira;
Deise Queirós;
Deise Veiga;
Delfim Collaço;
Delfina Granjeiro;
Delfina Linhares;
Delfina Moreyra;
Delfina Pitangui;
Deolinda Bautista;
Deolinda Chávez;
Deolindo Caldas;
Deolindo Neves;
Derli Candal;
Derli Neves;
Derli Zalazar;
Diana Escobar;
Diana Quintanilla;
Dina Espartero;
Dinarte Rolim;
Dinis Parracho;
Diodete Castillo;
Diodete Porciúncula;
Diodete Ramos;
Dionísio Dourado;
Dirceu Bautista;
Dirceu Parahyba;
Diógenes Ferrão;
Diógenes Rosário;
Diógenes Temes;
Domingas Camelo;
Domingas Junqueira;
Donata Capanema;
Donata Rosário;
Donata Torres;
Donato Miera;
Dorindo Belmonte;
Dorindo Carreiro;
Dorindo Pamplona;
Duarte Areosa;
Duarte Onofre;
Dulce Gameiro;
Dulce Inácio;
Dália Lousado;
Dália Luz;
Dália Marcondes;
Dália Taveira;
Débora Paiacã;
Délio Carreira;
Délio Neres;
Edgar Gomide;
Edmundo Peseiro;
Eduarda Mendes;
Eduardo Carvalhaes;
Eduardo Orriça;
Egas Colares;
Egas Ferrão;
Egas Valido;
Elia Antunes;
Elia Jardim;
Elia Pacheco;
Elias Felipe;
Elias Valle;
Elisa Doutel;
Elisa Mansilla;
Elisa Meireles;
Elisa Noronha;
Elisabete Mendoça;
Elisabete Tristão;
Eliseu Franco;
Eliseu Porciúncula;
Eloi Farinha;
Elsa Mourão;
Eládio Cirne;
Eládio Gameiro;
Eládio Guaraná;
Emanuela Arouca;
Emanuela Cerveira;
Emiliana Teves;
Emiliana Villaça;
Emiliano Anlicoara;
Emiliano Coutinho;
Emídio Diniz;
Emídio Gago;
Emília Corvelo;
Emílio Matos;
Epaminondas Morales;
Epaminondas Souto;
Ermelinda Anjos;
Ermelinda Modesto;
Ermelinda Taborda;
Esperança Bessa;
Esperança Ferraz;
Estanislau Moita;
Estefânia Bacelar;
Estefânia Capanema;
Estela Cairu;
Estela Cortês;
Estêvão Campelo;
Estêvão Conde;
Eudes Barcellos;
Eudes Benavides;
Eugénia Ferrão;
Eugénio Bettencourt;
Eugénio Penha;
Eulália Carneiro;
Eulália Coitinho;
Eulália Mascarenhas;
Eulália Pari;
Eunice Almeyda;
Eunice Baldaia;
Eunice Carmona;
Eunice Cayubi;
Eunice Marroquim;
Eusébio Marreiro;
Eva Camello;
Eva Chagas;
Evandro Eanes;
Evandro Madruga;
Fabiano Cambezes;
Fabiano Tabosa;
Fabiano Vergueiro;
Fabrício Jaguaribe;
Fabrício Sacramento;
Fabíola Peixoto;
Faustino Assumpção;
Faustino Fuentes;
Faustino Proença;
Faustino Sant'Anna;
Fausto Dinis;
Fausto Pimenta;
Fausto Taveira;
Feliciana Cordero;
Felicidade Cabreira;
Felicidade Higuera;
Felícia Mayor;
Felícia Pimienta;
Ferdinando Cartaxo;
Fernando Camillo;
Fernão Neves;
Filena Raminhos;
Filena Teves;
Filipa Naves;
Filipa Souto;
Filipa Torres;
Filipa Vilarim;
Filipe Fontoura;
Fiona Barroqueiro;
Fiona Quiroga;
Firmino Caetano;
Flamínia Barcellos;
Flamínia Frois;
Flamínia Jordão;
Flamínia Pitanga;
Flamínia Valente;
Flor Mourinho;
Flor Picanço;
Flora Aldeia;
Floriano Machado;
Floriano Sintra;
Florinda Soto;
Floripes Alcantara;
Floripes Bahía;
Floripes Quirino;
Floripes Villalobos;
Florêncio Mendoza;
Flávio Santiago;
Frederica Serpa;
Frutuoso Coutinho;
Frutuoso Fróis;
Fulvio Rabelo;
Fulvio Salvado;
Fábio Flores;
Gabriel Gago;
Gabriela Valido;
Galindo Cardin;
Galindo Tibiriçá;
Galindo Tévez;
Garibaldo Amorim;
Garibaldo Sotomayor;
Gastão Parafita;
Gastão Penha;
Gaudêncio Martinho;
Gaudêncio Vasconcelos;
Gedeão Casalinho;
Geraldo Capiperibe;
Gerardo Barata;
Germana Doutel;
Germana Meneses;
Germano Ornellas;
Germano Quadros;
Germano Salazar;
Gerson Fiestas;
Gerson Sousa de Arronches;
Gertrudes Jaguariúna;
Gertrudes Morais;
Gerusa Acatauaçu;
Gerusa Pereira;
Gil Moraes;
Gilberto Gouveia;
Gilberto Inácio;
Gilberto Queirós;
Gilda Ignacio;
Gina Camello;
Ginéculo Chousa;
Girão Cardim;
Gisela Bezerril;
Gisela Covelhã;
Gisela Viana;
Glauco Vilaça;
Gláuber Malta;
Gláuber Pirajá;
Gláuber Teves;
Gláucia Butantã;
Gláucia Puentes;
Glória Bento;
Glória Lóio;
Glória Varejão;
Godinho ou Godim Tigre;
Godo Acatauaçu;
Godo Passarinho;
Godofredo Ribas;
Graciano Buenaventura;
Graciano Casalinho;
Graciano Raminhos;
Gregório Garrau;
Gregório Meireles;
Guadalupe Nieves;
Guadalupe Toledo;
Gualdim Gonçalves;
Guaraci Garcés;
Guaraci Mourinho;
Gui Fonseca;
Gui Marques;
Gui Rolim;
Guida Belém;
Guida Inácio;
Guida Quintais;
Guido Assumpção;
Guido Bocaiúva;
Guiomar Casquero;
Guiomar Menna;
Guiomar Nieves;
Gustavo Grillo;
Gustavo Maciel;
Guterre Caires;
Guterre Gonsalves;
Guterre Guedelha;
Gávio Leitão;
Heitor Furtado;
Heitor León;
Helena Bicudo;
Heloísa Granja;
Henrique Pardo;
Henriqueta Belmonte;
Henriqueta Vianna;
Herberto Domínguez;
Hermano Noguera;
Hermenegildo Asunción;
Hermesinda Mendoza;
Hermígio Paula;
Hermígio Suárez;
Hernâni Bento;
Hernâni Brasil;
Hernâni Jucá;
Hernâni Paiva;
Hernâni Raminhos;
Higino Carvalho;
Hipólito Pessanha;
Honorina Guedella;
Hugo Martins;
Humberto Soeiro;
Hélia Ayres;
Hélia Dornelles;
Hélio Quadros;
Iara Pegado;
Iberê Hollanda;
Ifigénia Carrasqueira;
Ifigénia Lozada;
Ildefonso Santana;
Ilma Nascimento;
Ilídio Correa;
Inaiá Grande;
Inaiá Puerto;
Ingrit Ferreyra;
Ingrit Mont'Alverne;
Inácio Cairu;
Inês Graça;
Iolanda Furquim;
Iolanda Piragibe;
Iolanda Piñero;
Iracema Osorio;
Iraci Lago;
Irani Rivero;
Irene Guaraná;
Isabel Colares;
Isadora Lage;
Isaura Nascimento;
Isaura Querino;
Isilda Botica;
Isilda Granjeia;
Isilda Lousado;
Ismael Guimaraens;
Israel Temes;
Itiberê Coello;
Iva Domingues;
Ivo Milheirão;
Jaci Alancastro;
Jaci Bastos;
Jaci Gonsalves;
Jacinta Dantas;
Jacinto Abelho;
Jacira Vilas Boas;
Jamari Bessa;
Jamari Madureira;
Jandira Capistrano;
Jeremias Belmonte;
Jeremias Díaz;
Jerónimo, Jerônimo Maia;
Jerónimo, Jerônimo Vergueiro;
Joana Villanueva;
Joaquim Silvera;
Joaquina Gomide;
Joel Correa;
Joel Veríssimo;
Jonas Guimarães;
Jordão Colaço;
Jorgina Conceição;
Josefa Assumpção;
Josefa Barrios;
Josefa Ipanema;
José Baião;
João Cabeça de Vaca;
João Garcés;
Judas Caminha;
Judite Correa;
Judá Abrantes;
Judá Guerreiro;
Judá Pacheco;
Jurema Vilariça;
Jutaí Barrocas;
Jutaí Varejão;
Juçara Carneiro;
Jéssica Pitangui;
Júlia Betancour;
Júlia Páez;
Júlio Guedelha;
Lara Quiroga;
Laurinda Silvera;
Laís Sacramento;
Leonardo Osorio;
Leonel Bahía;
Leonel Rebelo;
Leonel Reino;
Leonilde Carvalhoso;
Leonilde Castro;
Leonilde Pérez;
Leonir Brião;
Leonir Feitosa;
Leonir Seabra;
Leonor Linhares;
Leonor Reguera;
Leopoldina Mansilha;
Leopoldina Neto;
Leopoldo Otero;
Letícia Ilha;
Levi Carneiro;
Levindo Alcantara;
Liedson Ipanema;
Liedson Lamego;
Lino Porto;
Lourenço Figueiroa;
Luana Guedes;
Luana Sucupira;
Luciana Martinho;
Luciana Oleiro;
Luciano César;
Luciano Pirassununga;
Lucinda Lemos;
Lucinda Melo;
Lucinda Sacadura;
Lucrécia Cambezes;
Lucrécia Montero;
Lucrécia Sabrosa;
Lucília Chousa;
Lucília Cidreira;
Lucílio Faria;
Lucílio Morgado;
Ludovico Beltrão;
Ludovico Guedez;
Luize Aleixo;
Lurdes Amaro;
Lurdes Curvelo;
Lurdes Gois;
Luís Mayor;
Luísa Leite;
Lázaro Dias;
Lénia Belén;
Lídia Barreiro;
Lídia Castella;
Lígia Tibiriçá;
Lígia Vilanova;
Lília Villaça;
Lívia Ginjeira;
Lúcia Sabala;
Lúcio Meneses;
Madalena Amaral;
Madalena Guarabira;
Mamede Martins;
Mamede Souto Maior;
Manuel Barroso;
Manuel Figueiroa;
Manuela Herrera;
Manuela Pitanga;
Mara Varanda;
Marcelo Couto;
Marco Freyria;
Marcos Açores;
Marcos Tristão;
Margarida Abasto;
Marilda Asunción;
Marilda Caires;
Marilda Candeias;
Marilda Colares;
Marina Álvarez;
Marisa Canela;
Marisa Mourinho;
Marisa Teixeira;
Marta Valério;
Martim Amorín;
Martim Bulhões;
Martim Rodrigues;
Martinho Barreto;
Martinho Bastos;
Marília Guerreiro;
Marília Sampaio;
Mateus Outeiro;
Mateus Valle;
Matias Teles;
Matilde Caniça;
Mauro Mieiro;
Maurício Sardinha;
Maximiliano Nobre;
Maíra Nogueira;
Mbicy Barcelos;
Mbicy Mourinho;
Mbicy Soto;
Melissa Grilo;
Mem Gouveia;
Mercedes Norões;
Micael Arantes;
Micael Enríquez;
Miguel Bethecourt;
Mileide Martinho;
Mileide Vieira;
Milena Jaguariúna;
Milu Aldeia;
Milu Padilla;
Miriam Dourado;
Miru Moura;
Moaci Pajares;
Moacir Gabeira;
Moisés Flores;
Morgana Novais;
Murici Casqueira;
Murilo Villaverde;
Márcia Bulhão;
Márcia Fagundes;
Márcio Amado;
Márcio Guarabira;
Márcio Peña;
Márcio Ramalho;
Mário Coelho;
Máxima Dorneles;
Máxima Fróis;
Máxima Góis;
Máximo Santana;
Máximo Valério;
Mécia Duarte;
Mécia Velasco;
Mônica   Fiães;
Mônica   Sanches;
Mônica   Valadão;
Natacha Cuaresma;
Natividade Baranda;
Natália Covinha;
Natália Ulloa;
Nazaré Vilhena;
Nelson Beserra;
Nelson Guterres;
Neusa Peres;
Neuza Pitangui;
Nicanor Valladares;
Nicolas Nascimento;
Nicolau Abreu;
Nicolau Amorim;
Nilza Brasil;
Noel Camelo;
Noel Quirós;
Noel Torcuato;
Norberto Azenha;
Noémia Maranhão;
Noêmia   Grande;
Nuno Bonilla;
Nádia Barrocas;
Nádia Fiães;
Odete Cortesão;
Odete Fernández;
Odete Nazário;
Odilia Rufino;
Ofélia Silveira dos Açores;
Ofélia Taborda;
Olavo Leme;
Oliveira Almeyda;
Olívia Pasos;
Olívio Aldeia;
Olívio Mexia;
Ordonho Chávez;
Ordonho Collares;
Orestes Patrício;
Oscar   Setúbal;
Otávio Fuentes;
Otília Rios;
Ovídio Braga;
Ovídio Clementino;
Palmiro Bentes;
Palmiro Pereira;
Palo Briones;
Pandora Cotegipe;
Pandora Sequera;
Paraguaçu Tabares;
Parcidio Alcântara;
Parcidio Lozada;
Pascoal Queiroz;
Patrício Rebello;
Paula Ramallo;
Paulino Menezes;
Paulo Faro;
Paulo González;
Paulo Ornellas;
Penélope Godoy;
Peri Castellano;
Peri Teves;
Piedade Holanda;
Piedade Valente;
Polibe Diegues;
Polibe Salazar;
Políbio Amorim;
Porfírio Carvalhaes;
Porfírio Fróis;
Porfírio Quirós;
Potira Cardim;
Priscila Amaro;
Priscila Álvares;
Querubim Marques;
Querubina Farias;
Querubina Guerrero;
Quintiliana Jucá;
Quintiliana Maciel;
Quintilien Fuentes;
Quintino Madeira;
Quirina Galindo;
Quirino Lemos;
Quitério Bessa;
Quévin Valentín;
Rafaela Colaço;
Raimundo Machado;
Raimundo Veloso;
Ramão Castelhano;
Raul Cascaes;
Raul Fiães;
Rebeca Leitão;
Regina Alancastro;
Reginaldo Neto;
Reinaldo Conceição;
Renan Boaventura;
Renata Bezerra;
Renata Fragoso;
Renata Mendoza;
Ricardina Moutinho;
Ricardina Teles;
Ricardo Lamego;
Rita Guará;
Roberta Bethancout;
Roberto Abelho;
Roberto Soto;
Rodrigo Jatobá;
Romano Herrera;
Ronaldo Durão;
Ronaldo Jucá;
Roque Cesário;
Roquita Bernardes;
Roquita Fagundes;
Rosa Bernardes;
Rosalinda Miera;
Rosana Bernárdez;
Rosaura Guilheiro;
Roseli Bettencourt;
Rosália Quintella;
Rosália Valério;
Rosário Mourinho;
Rubim Iglesias;
Ruca Corvelo;
Ruca Zarco;
Rudi Peña;
Rudá Bello;
Rudá Picanço;
Rufus Queiroga;
Rúben Alcântara;
Sabino Bautista;
Salomão Telles;
Salomé Corrêa;
Salomé Figueiró;
Salvador Ferrera;
Salvina Regueira;
Sancho Salguero;
Sandoval Robalinho;
Sandro Café;
Sandro Velasques;
Sarita Norões;
Saul Borba;
Sebastiana Carneiro;
Sebastiana Faria;
Sebastião Alancastro;
Sebastião Palma;
Selma Beiriz;
Serafim Gutiérrez;
Serafina Gonçalves;
Sidónio Thamily;
Sidônio   Brito;
Silvana Novalles;
Silvana Núñez;
Silvana Sotomayor;
Silvério Caballero;
Silvério Carvalhal;
Silvério Mendonça;
Silvério Talhão;
Simão Caires;
Simão Cardin;
Simão Guilheiro;
Siquenique Villena;
Socorro Caetano;
Socorro Cambaúva;
Socorro Candal;
Socorro Figueiredo;
Socorro Monsanto;
Soeiro Noite;
Soeiro Pádua;
Sofia Carvalhosa;
Sofia Grangeia;
Sofia Torcuato;
Solange Cerqueira;
Solange Inácio;
Solange Varela;
Solano Dutra;
Solano Lacerda;
Susana Cardin;
Susana Tibiriçá;
Susana Viégas;
Sílvia Bicalho;
Sónia Thamily;
Sônia ou Sonia   Cerqueira;
Tabalipa Castel-Branco;
Tadeu Arouca;
Tadeu Caballero;
Taíssa Tabares;
Telma Lopes;
Telma Sanches;
Telo Magallanes;
Teodorico Sales;
Teodoro Camillo;
Teodoro Varão;
Teresa Noite;
Tibúrcio Mora;
Tomás Lima;
Tomás Sabrosa;
Tomásia Serralheiro;
Tristão Alencar;
Tristão Magalhães;
Tércio Faustino;
Tércio Pinho;
Ubirajara Ayres;
Ubiratã Ferraz;
Ulrico Fontoura;
Ulrico Mortágua;
Umbelina Tabares;
Urbano Cotegipe;
Uriel Menna;
Uriel Valadares;
Valdemar Mattos;
Valdemar Vilas Boas;
Valentim Azevedo;
Valentina Miranda;
Valentina Ribeiro;
Valéria Sanches;
Valério Cotrim;
Valério Gil;
Vanderlei Frois;
Vanderlei Trindade;
Vasco Espírito Santo;
Vera Brandán;
Vera Villegas;
Veridiano Cartaxo;
Verônica   Homem;
Verônica   Taborda;
Vicente Abasto;
Vicente Holanda;
Vicente Lins;
Vicente Murici;
Vicente Paraguaçu;
Virgília Gonçalves;
Virgília Torrado;
Virgílio Gois;
Virgínia Cirne;
Virgínia Mortágua;
Virgínia Rabello;
Viriato Villanueva;
Viridiana Verguero;
Vitória Coelho;
Xavier Bairros;
Xavier Laureano;
Xerxes Henriques;
Xico Peres;
Xisto Alcántara;
Xisto Maia;
Xénia Hidalgo;
Xénia Rebelo;
Xênia   Melgaço;
Xênia   Mena;
Zeferino Vilar;
Zenaide Mattos;
Zidane Bernárdez;
Zilda Espartero;
Zita Caires;
Zubaida Medina;
Zubaida Noronha;
Zubaida Vieira;
Zuleide Canhão;
Zuleide Dornelles;
Zulmira Monsanto;
Zuriel Belo;
Zuriel Filgueiras;
Zuriel Mora;
Zélia Díaz;
Zélia Pedroso;
Zélia Semedo;
Ágata Paredes;
Ágata Silvestre;
Ângela Grilo;
Énia Aldeia;
Énia Andrade;
Énia Bautista;
Érica Bezerra;
Íris Rua;
Ítala Fartaria;
Ítalo Castilhos;
Óscar Beiriz;
Óscar Carrilho;
Úrsula Jaguaribe
